carrier_id,carrier_name,corridor_id,on_time_rate,avg_delay_days,cost_per_kg_usd,reliability_score,shipments_last_90d,damage_rate
CAR-00001,Maersk Line,COR-00001,0.81,1.1,2.89,69.7,401,0.004
CAR-00002,MSC,COR-00002,0.9,2.9,9.0,63.5,331,0.02
CAR-00003,DHL Express,COR-00003,0.82,3.4,3.34,95.2,203,0.033
CAR-00004,FedEx Freight,COR-00004,0.94,1.2,6.2,67.0,302,0.014
CAR-00005,DB Schenker,COR-00005,0.97,2.9,9.86,78.3,218,0.003
CAR-00006,Kuehne+Nagel,COR-00006,0.86,2.3,5.04,96.4,53,0.019
CAR-00007,Rhenus Logistics,COR-00007,0.95,3.3,12.23,73.9,122,0.038
CAR-00008,Bolloré Logistics,COR-00008,0.9,4.1,5.97,96.1,102,0.038
CAR-00009,Maersk Line,COR-00009,0.88,0.2,1.07,78.5,226,0.004
CAR-00010,MSC,COR-00010,0.82,0.5,4.42,60.2,180,0.006
