period,category,forecasted_revenue,actual_revenue,variance_pct,forecast_model
2025-01,Components,353516.7,406495.28,14.99,ARIMA
2025-01,Electronics,378359.37,330183.42,-12.73,ARIMA
2025-01,Fasteners,91825.52,79658.06,-13.25,ARIMA
2025-01,Seals,190896.57,217859.41,14.12,ARIMA
2025-01,Components,311767.88,331494.92,6.33,ARIMA
2025-01,Electronics,292717.62,265846.48,-9.18,ARIMA
2025-01,Fasteners,117041.25,129811.92,10.91,ARIMA
2025-01,Seals,226024.59,245637.76,8.68,ARIMA
2025-03,Components,177976.7,168849.53,-5.13,ARIMA
2025-03,Electronics,404812.93,453605.15,12.05,ARIMA
