scorecard_id,supplier_id,period,otif_score,quality_score,communication_score,cost_competitiveness,overall_score,tier,rank,flagged_for_review
SC-00001,SUP-00001,2025-Q2,0.8,0.86,0.61,0.72,0.78,Bronze,1,False
SC-00002,SUP-00002,2025-Q3,0.96,0.75,0.72,0.99,0.87,Silver,2,False
SC-00003,SUP-00003,2025-Q4,0.74,0.87,0.77,0.65,0.77,Bronze,3,False
SC-00004,SUP-00004,2026-Q1,0.87,0.85,0.97,0.98,0.9,Gold,4,False
SC-00005,SUP-00005,2026-Q2,0.68,0.87,0.73,0.69,0.75,Bronze,5,False
SC-00006,SUP-00006,2025-Q1,0.96,0.73,0.8,0.73,0.83,Silver,6,False
SC-00007,SUP-00007,2025-Q2,0.84,0.76,0.93,0.8,0.82,Silver,7,False
SC-00008,SUP-00008,2025-Q3,0.72,0.93,0.65,0.9,0.8,Silver,8,False
SC-00009,SUP-00009,2025-Q4,0.73,0.94,0.7,0.87,0.81,Silver,9,False
SC-00010,SUP-00010,2026-Q1,0.88,0.85,0.94,0.83,0.87,Silver,10,False
